GEO_ID,NAME,DP05_0033E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0071E,,
id,Geographic Area Name,total population,white,black or african american,american indian and alaska native,asian,hispanic latino,,
310M400US42220,"Santa Rosa, CA Metro Area",499942,369293,8049,5039,21637,135779,,
310M400US43220,"Shelton, WA Micro Area",65507,52999,815,1130,878,6801,,
310M400US43340,"Shreveport-Bossier City, LA Metro Area",436341,241018,173745,1862,5980,15812,,
310M400US44060,"Spokane-Spokane Valley, WA Metro Area",573527,501179,9005,10084,12189,32322,,
310M400US44100,"Springfield, IL Metro Area",207676,171906,24398,589,4287,4686,,
310M400US44620,"Stevens Point, WI Micro Area",70942,65360,377,209,2338,2402,,
310M400US44660,"Stillwater, OK Micro Area",82040,66152,3212,2896,3324,3986,,
310M400US46220,"Tuscaloosa, AL Metro Area",244895,153905,83712,529,3471,9128,,
310M400US46540,"Utica-Rome, NY Metro Area",291410,254156,17124,580,10103,14447,,
310M400US47940,"Waterloo-Cedar Falls, IA Metro Area",169659,146427,14167,1198,3870,6535,,
310M400US48060,"Watertown-Fort Drum, NY Metro Area",111755,95447,6760,250,1516,8700,,
310M400US48300,"Wenatchee, WA Metro Area",119943,87414,396,697,1426,35567,,
310M400US10380,"Aguadilla-Isabela, PR Metro Area",292919,220334,10471,0,144,282213,,
310M400US11640,"Arecibo, PR Metro Area",174271,144832,5128,0,736,173085,,
310M400US25020,"Guayama, PR Metro Area",70764,N,N,N,N,70322,,
310M400US12540,"Bakersfield, CA Metro Area",896764,673595,50289,8106,44299,483846,,
310M400US13180,"Beaver Dam, WI Micro Area",87847,81092,2812,292,789,4301,,
310M400US14540,"Bowling Green, KY Metro Area",177183,149969,10127,190,6158,8200,,
310M400US15500,"Burlington, NC Metro Area",166436,115202,32746,409,2829,21498,,
310M400US16180,"Carson City, NV Metro Area",55414,45870,1007,1132,2237,13595,,
310M400US17980,"Columbus, GA-AL Metro Area",307149,152723,127171,261,5662,21714,,
310M400US19180,"Danville, IL Metro Area",76806,62290,10903,111,797,3999,,
310M400US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",380106,320882,26864,1000,9399,34110,,
310M400US20100,"Dover, DE Metro Area",178550,116529,45522,1556,4144,13193,,
310M400US20500,"Durham-Chapel Hill, NC Metro Area",575412,361033,149073,3054,29174,66780,,
310M400US21340,"El Paso, TX Metro Area",844723,659344,25630,3447,10997,700697,,
310M400US21500,"Erie, PA Metro Area",272061,234857,20597,946,4909,11840,,
310M400US21820,"Fairbanks, AK Metro Area",98971,74307,4941,8025,2956,8282,,
310M400US22140,"Farmington, NM Metro Area",125043,66111,1074,50058,1492,25663,,
310M400US22380,"Flagstaff, AZ Metro Area",142854,90589,1882,38177,2687,20389,,
310M400US22840,"Fort Payne, AL Micro Area",71385,60157,1335,868,173,10595,,
310M400US27060,"Ithaca, NY Metro Area",102793,81512,4703,196,10518,5472,,
310M400US27620,"Jefferson City, MO Metro Area",150243,132155,13079,618,1099,3309,,
310M400US27900,"Joplin, MO Metro Area",178902,160546,2975,4650,2146,13240,,
310M400US28060,"Kalispell, MT Micro Area",102106,96362,411,2081,1369,2907,,
310M400US29100,"La Crosse-Onalaska, WI-MN Metro Area",136808,125150,2479,520,5289,2576,,
310M400US29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2231647,1285689,264357,23704,219628,701766,,
310M400US30780,"Little Rock-North Little Rock-Conway, AR Metro Area",741357,518776,174272,3417,12781,39819,,
310M400US30980,"Longview, TX Metro Area",219417,173143,38346,286,2190,36880,,
310M400US31540,"Madison, WI Metro Area",660422,568227,29537,2656,33168,38390,,
310M400US31900,"Mansfield, OH Metro Area",121099,105522,10266,290,1033,2397,,
310M400US32020,"Marion, OH Micro Area",65256,58259,3627,239,459,1801,,
310M400US32100,"Marquette, MI Micro Area",66516,61832,949,812,707,1078,,
310M400US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3629190,2845996,314994,22769,242873,217078,,
310M400US33980,"Morehead City, NC Micro Area",69524,62764,3291,102,1092,2965,,
310M400US34620,"Muncie, IN Metro Area",114772,101710,7989,110,1718,2942,,
310M400US34860,"Nacogdoches, TX Micro Area",65711,49757,11019,498,1019,12964,,
310M400US35660,"Niles-Benton Harbor, MI Metro Area",154141,121712,21589,862,2842,8802,,
310M400US35900,"North Wilkesboro, NC Micro Area",68557,62850,3042,0,225,4637,,
310M400US37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",850967,685974,14696,5106,64523,366098,,
310M400US39020,"Portsmouth, OH Micro Area",75502,N,N,N,N,938,,
310M400US40080,"Richmond-Berea, KY Micro Area",108961,100488,3984,164,958,2525,,
310M400US40340,"Rochester, MN Metro Area",219802,191048,10168,501,9686,9920,,
310M400US40420,"Rockford, IL Metro Area",337658,273713,37746,462,9233,49276,,
310M400US40660,"Rome, GA Metro Area",97927,78436,13648,299,1807,11059,,
310M400US41060,"St. Cloud, MN Metro Area",199801,175325,13450,163,3402,6529,,
310M400US41420,"Salem, OR Metro Area",432102,344843,5508,6106,8875,105952,,
310M400US41860,"San Francisco-Oakland-Hayward, CA Metro Area",4729484,2258551,341977,23664,1255010,1033915,,
310M400US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1999107,912089,49738,9161,723157,527780,,
310M400US42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",555485,494904,20040,681,10397,58477,,
310M400US42680,"Sebastian-Vero Beach, FL Metro Area",157413,135869,13492,717,1188,19962,,
310M400US42700,"Sebring, FL Metro Area",105424,84051,10117,0,921,21938,,
310M400US43060,"Shawnee, OK Micro Area",72679,54800,2597,9342,432,3781,,
310M400US45060,"Syracuse, NY Metro Area",650502,546362,58700,3471,18419,28240,,
310M400US45180,"Talladega-Sylacauga, AL Micro Area",92812,59777,31290,433,110,1451,,
310M400US46100,"Tullahoma-Manchester, TN Micro Area",104410,95068,3504,58,882,3998,,
310M400US46660,"Valdosta, GA Metro Area",145577,85652,49843,406,1882,9481,,
310M400US48260,"Weirton-Steubenville, WV-OH Metro Area",120228,111609,3811,44,1303,1638,,
310M400US48900,"Wilmington, NC Metro Area",294436,236582,41532,571,3763,17629,,
