GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,City_Code,Population,City,State_Abbr,City_State,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value,State
310M400US29820,1043502,558720,484782,88.5,3.3,1.4,0.2,2.6,4.1,57076,80329,5.9,"Las Vegas-Henderson-Paradise, NV Metro Area",2231647,Las Vegas-Henderson-Paradise,NV,"Las Vegas-Henderson-Paradise,NV",1530208,88127,128138,429391,387783,120382,246720,129667,1313943,376387,1285689,264357,23704,219628,295018,701766,293200,Nevada
310M400US39900,239974,126886,113088,89.5,1.7,2.6,0.5,1.3,4.4,63466,87127,4,"Reno, NV Metro Area",471265,Reno,NV,"Reno,NV",327283,13149,20258,78828,83500,29191,63497,38860,293876,102357,357500,11785,7333,23807,46041,115795,366900,Nevada
310M400US17980,128593,70795,57798,90.2,0.8,3.9,0.5,1.7,2.9,49731,62902,8,"Columbus, GA-AL Metro Area",307149,Columbus,GA,"Columbus,GA",201128,6307,18897,57420,54769,17166,26193,20376,175924,46569,152723,127171,261,5662,5530,21714,163500,Georgia
310M400US46660,60072,30729,29343,91.5,0,3.3,0,1.6,3.6,35186,54964,4.1,"Valdosta, GA Metro Area",145577,Valdosta,GA,"Valdosta,GA",89489,2505,10723,30192,19584,8174,11199,7112,76261,18311,85652,49843,406,1882,3971,9481,141500,Georgia
310M400US27600,N,N,N,N,N,N,N,N,N,73150,85599,2.3,"Jefferson, GA Micro Area",70422,Jefferson,GA,"Jefferson,GA",47292,2073,3956,15192,9866,5034,6846,4325,41263,11171,61209,4893,19,1062,1415,5731,202800,Georgia
310M400US23580,95356,53945,41411,93.1,0.4,0.4,0,1.7,4.3,61699,85602,3.2,"Gainesville, GA Metro Area",202148,Gainesville,GA,"Gainesville,GA",132465,16175,12033,37306,26924,7969,20532,11526,104257,32058,174232,13415,576,3392,5217,58589,224300,Georgia
310M400US42340,190375,98483,91892,90.8,1.2,2.3,0.6,1.1,4,58178,83076,6.2,"Savannah, GA Metro Area",389494,Savannah,GA,"Savannah,GA",261220,7207,17195,72249,61585,22386,46870,33728,236818,80598,230412,127786,634,8063,6593,25890,213400,Georgia
310M400US31420,91508,44553,46955,93.5,1.2,2.8,0.2,0.7,1.7,42615,59364,7.8,"Macon-Bibb County, GA Metro Area",226680,Macon-Bibb County,GA,"Macon-Bibb County,GA",151120,5320,16357,48257,33309,13322,20723,13832,129443,34555,116930,96898,280,4773,1954,6238,140100,Georgia
310M400US12260,270365,134389,135976,92.3,0.6,1.7,0.2,1.2,4,52696,72026,5.7,"Augusta-Richmond County, GA-SC Metro Area",605903,Augusta-Richmond County,GA,"Augusta-Richmond County,GA",405493,12527,37204,128167,87178,34096,65354,40967,355762,106321,352191,217583,908,13020,6434,34022,167900,Georgia
310M400US12060,2939607,1521439,1418168,86.1,3,1.3,0.2,1.8,7.6,69464,95476,4.2,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5950828,Atlanta-Sandy Springs-Roswell,GA,"Atlanta-Sandy Springs-Roswell,GA",3952225,154876,234634,949194,743453,311555,967196,591317,3562715,1558513,3140829,2038334,24159,365643,213466,646761,241400,Georgia
310M400US15260,N,N,N,N,N,N,N,N,N,50499,75992,3.9,"Brunswick, GA Metro Area",116864,Brunswick,GA,"Brunswick,GA",82887,2418,10552,25013,17195,5674,12784,9251,69917,22035,82755,29651,183,1442,544,6107,199300,Georgia
310M400US25980,N,N,N,N,N,N,N,N,N,47234,56659,11.4,"Hinesville, GA Metro Area",80008,Hinesville,GA,"Hinesville,GA",47507,1403,3364,16701,12735,5387,4859,3058,42740,7917,40310,25869,520,1101,3899,9113,132800,Georgia
310M400US29300,N,N,N,N,N,N,N,N,N,44260,65104,N,"LaGrange, GA Micro Area",70034,LaGrange,GA,"LaGrange,GA",44510,2414,4074,16981,11437,2504,4466,2634,38022,7100,40980,26220,0,1622,817,2620,150000,Georgia
310M400US40660,38605,19802,18803,91.5,0.3,3.4,0.7,1.1,3,38462,61873,2.9,"Rome, GA Metro Area",97927,Rome,GA,"Rome,GA",65529,4413,7771,24108,12096,6034,6537,4570,53345,11107,78436,13648,299,1807,1338,11059,153300,Georgia
310M400US12020,99491,49722,49769,87.6,2.4,2.5,1.1,1,5.4,51503,73112,5.1,"Athens-Clarke County, GA Metro Area",211802,Athens-Clarke County,GA,"Athens-Clarke County,GA",127511,4149,10521,30951,21794,8579,26118,25399,112841,51517,153631,42677,326,6914,2294,18296,213100,Georgia
310M400US47580,88822,50429,38393,94.8,0.1,0.5,0.1,1.9,2.6,54024,78380,5.6,"Warner Robins, GA Metro Area",193729,Warner Robins,GA,"Warner Robins,GA",128508,4713,10505,36143,28511,12880,21497,14259,113290,35756,111003,68694,640,5646,2993,12813,147400,Georgia
310M400US44340,33145,17830,15315,89.4,0.4,2.2,1,2.4,4.5,44179,58705,9.9,"Statesboro, GA Micro Area",77296,Statesboro,GA,"Statesboro,GA",41851,1422,4388,10701,9414,4118,6464,5344,36041,11808,49991,20136,0,1108,352,3188,165700,Georgia
310M400US10500,61283,29440,31843,94.2,0.1,1.6,0.4,0.6,3.1,44896,59445,9.2,"Albany, GA Metro Area",151158,Albany,GA,"Albany,GA",95850,4680,11825,30894,21009,9927,10012,7503,79345,17515,61488,81424,571,1984,2015,4110,128000,Georgia
310M400US19140,N,N,N,N,N,N,N,N,N,45326,59471,5.9,"Dalton, GA Metro Area",143983,Dalton,GA,"Dalton,GA",93514,13385,12924,30028,16760,6241,9716,4460,67205,14176,133662,4838,164,816,3409,43613,134200,Georgia
310M400US21340,369531,204030,165501,91.4,1.2,1.5,0.1,1.9,3.9,43862,61570,6.4,"El Paso, TX Metro Area",844723,El Paso,TX,"El Paso,TX",520631,71206,43855,120158,121331,41831,80489,41761,405570,122250,659344,25630,3447,10997,118185,700697,138900,Texas
310M400US30980,93986,51543,42443,93.3,0.5,1.8,0,0.6,3.8,51296,71230,6.2,"Longview, TX Metro Area",219417,Longview,TX,"Longview,TX",144321,7261,14883,47802,36632,12616,16823,8304,122177,25127,173143,38346,286,2190,1229,36880,144600,Texas
